"country_name","country_iso_a2","country_iso_a3","continent","un_region","wb_region","lon","lat","poly_no"
"Afghanistan","AF","AFG","Asia","Asia","South Asia",61.7812215513634,30.7358503280812,1
"Afghanistan","AF","AFG","Asia","Asia","South Asia",61.6993144061808,31.3795061304927,1
"Afghanistan","AF","AFG","Asia","Asia","South Asia",60.9419446145111,31.5480746526288,1
"Afghanistan","AF","AFG","Asia","Asia","South Asia",60.863654819589,32.1829196233344,1
"Afghanistan","AF","AFG","Asia","Asia","South Asia",60.5360779152908,32.9812688258116,1
"Afghanistan","AF","AFG","Asia","Asia","South Asia",60.963700392506,33.5288323023763,1
"Afghanistan","AF","AFG","Asia","Asia","South Asia",60.5284298033116,33.676446031218,1
"Afghanistan","AF","AFG","Asia","Asia","South Asia",60.8031933938074,34.4041018743199,1
"Afghanistan","AF","AFG","Asia","Asia","South Asia",61.2108170917257,35.6500723333092,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",16.326528354567,-5.87747039146622,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",16.5731799658961,-6.62264454511509,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",16.8601908708452,-7.22229786542998,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",17.0899959652472,-7.54568897871248,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",17.4729700049623,-8.06855112064166,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",18.1342216325691,-7.98767750410487,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",18.4641756527527,-7.84701425540648,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",19.0167517432497,-7.98824594486014,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",19.1666133968961,-7.73818368899973,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",19.4175024756732,-7.15542856204428,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",20.0377230160402,-7.11636117923166,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",20.0916215349206,-6.94309010175695,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",20.6018229509383,-6.93931772219969,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",20.5147481625265,-7.29960580813866,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",21.7281107927398,-7.29087249108132,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",21.7464559262034,-7.92008473066711,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",21.949130893652,-8.30590097415831,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",21.801801385188,-8.90870655684299,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",21.8751819190424,-9.52370777754857,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",22.2087532894864,-9.89479623783653,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",22.1552681820643,-11.0848011206538,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",22.4027982927424,-10.9930754533357,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",22.8373454118848,-11.0176217586743,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",23.4567908057675,-10.8678634578925,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",23.9122152035557,-10.9268262671375,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",24.0178935075926,-11.2372982723471,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",23.9041536801182,-11.7222815894063,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",24.0799052263429,-12.1912968888873,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",23.9309220720454,-12.5658476701388,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",24.0161365088947,-12.9110462378486,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",21.9338863461259,-12.8984371883694,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",21.8878426449539,-16.0803101538769,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",22.5624784685243,-16.8984514299218,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",23.2150484555061,-17.523116143466,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",21.3771761410456,-17.9306364885197,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",18.9561869646036,-17.7890947404722,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",18.2633093604342,-17.309950860262,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",14.2097066585951,-17.3531006812257,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",14.058501417709,-17.4233806291427,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",13.46236209479,-16.9712118465887,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",12.8140812516884,-16.9413428687241,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",12.2154614600194,-17.1116683895581,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",11.7341988460851,-17.3018893368245,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",11.6400960628816,-16.6731421851292,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",11.7785372249916,-15.7938160132507,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",12.1235807634044,-14.8783163387679,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",12.1756189307223,-14.4491435685839,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",12.500095249083,-13.5476998836844,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",12.7384786312454,-13.1379057756099,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",13.3129138526018,-12.4836304663625,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",13.6337211442698,-12.0386447078972,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",13.7387276546869,-11.2978630509931,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",13.6863794287753,-10.7310759416158,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",13.3873279151022,-10.3735783830207,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",13.1209875830699,-9.76689706791412,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",12.8753695003866,-9.16693368900549,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",12.9290613135378,-8.95909107832757,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",13.2364327328099,-8.56262948978434,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",12.9330403988243,-7.59653858808775,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",12.7282983740839,-6.92712208417881,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",12.2273470394464,-6.29444752362937,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",12.3224316748636,-6.10009246177965,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",12.7351713395787,-5.96568206138848,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",13.024869419007,-5.98438892987811,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",13.3755973649719,-5.86424122479956,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",16.326528354567,-5.87747039146622,1
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",12.4366882666609,-5.68430388755922,2
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",12.1823368669203,-5.7899305151638,2
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",11.9149630062421,-5.03798674888473,2
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",12.3186076188739,-4.60623015708616,2
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",12.6207597184845,-4.43802336997612,2
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",12.9955172054652,-4.78110320396192,2
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",12.6316117692658,-4.99127125409294,2
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",12.4680041846298,-5.24836150474499,2
"Angola","AO","AGO","Africa","Africa","Sub-Saharan Africa",12.4366882666609,-5.68430388755922,2
"Albania","AL","ALB","Europe","Europe","Europe & Central Asia",20.5902474301049,41.8554041611336,1
"Albania","AL","ALB","Europe","Europe","Europe & Central Asia",20.4631750830992,41.5150890162753,1
"Albania","AL","ALB","Europe","Europe","Europe & Central Asia",20.6051819190374,41.0862263046852,1
"Albania","AL","ALB","Europe","Europe","Europe & Central Asia",21.0200403174764,40.8427269557259,1
"Albania","AL","ALB","Europe","Europe","Europe & Central Asia",20.9999898617472,40.580003973954,1
"Albania","AL","ALB","Europe","Europe","Europe & Central Asia",20.6749967790636,40.434999904943,1
"Albania","AL","ALB","Europe","Europe","Europe & Central Asia",20.6150004411728,40.1100068222594,1
"Albania","AL","ALB","Europe","Europe","Europe & Central Asia",20.1500159034105,39.624997666984,1
"Albania","AL","ALB","Europe","Europe","Europe & Central Asia",19.9800004411701,39.6949933945234,1
"Albania","AL","ALB","Europe","Europe","Europe & Central Asia",19.9600016618732,39.915005805006,1
"Albania","AL","ALB","Europe","Europe","Europe & Central Asia",19.4060819841367,40.2507734238225,1
"Albania","AL","ALB","Europe","Europe","Europe & Central Asia",19.3190588721571,40.7272301295536,1
"Albania","AL","ALB","Europe","Europe","Europe & Central Asia",19.4035498389543,41.4095657415355,1
"Albania","AL","ALB","Europe","Europe","Europe & Central Asia",19.5400272966371,41.7199860703128,1
"Albania","AL","ALB","Europe","Europe","Europe & Central Asia",19.371768833095,41.8775475123707,1
"Albania","AL","ALB","Europe","Europe","Europe & Central Asia",19.3044861182508,42.1957451442078,1
"Albania","AL","ALB","Europe","Europe","Europe & Central Asia",19.7380513851796,42.6882473821656,1
"Albania","AL","ALB","Europe","Europe","Europe & Central Asia",19.8016133968987,42.5000934921908,1
"Albania","AL","ALB","Europe","Europe","Europe & Central Asia",20.0707,42.58863,1
"Albania","AL","ALB","Europe","Europe","Europe & Central Asia",20.2837545101819,42.3202595078151,1
"Albania","AL","ALB","Europe","Europe","Europe & Central Asia",20.52295,42.21787,1
"Albania","AL","ALB","Europe","Europe","Europe & Central Asia",20.5902474301049,41.8554041611336,1
"United Arab Emirates","AE","ARE","Asia","Asia","Middle East & North Africa",51.5795186704633,24.2454971379511,1
"United Arab Emirates","AE","ARE","Asia","Asia","Middle East & North Africa",51.7574406268442,24.2940729843055,1
"United Arab Emirates","AE","ARE","Asia","Asia","Middle East & North Africa",51.7943892759329,24.0198261581325,1
"United Arab Emirates","AE","ARE","Asia","Asia","Middle East & North Africa",52.5770805194256,24.1774392766227,1
"United Arab Emirates","AE","ARE","Asia","Asia","Middle East & North Africa",53.4040067889601,24.1513168400992,1
"United Arab Emirates","AE","ARE","Asia","Asia","Middle East & North Africa",54.0080009295876,24.1217579208282,1
"United Arab Emirates","AE","ARE","Asia","Asia","Middle East & North Africa",54.6930237160486,24.7978923609351,1
"United Arab Emirates","AE","ARE","Asia","Asia","Middle East & North Africa",55.4390246926141,25.4391452092449,1
"United Arab Emirates","AE","ARE","Asia","Asia","Middle East & North Africa",56.0708207538146,26.055464178974,1
"United Arab Emirates","AE","ARE","Asia","Asia","Middle East & North Africa",56.261041701081,25.7146064315768,1
"United Arab Emirates","AE","ARE","Asia","Asia","Middle East & North Africa",56.396847365144,24.9247321639955,1
"United Arab Emirates","AE","ARE","Asia","Asia","Middle East & North Africa",55.886232537668,24.9208305933574,1
"United Arab Emirates","AE","ARE","Asia","Asia","Middle East & North Africa",55.8041186867562,24.2696041936153,1
"United Arab Emirates","AE","ARE","Asia","Asia","Middle East & North Africa",55.9812138202205,24.1305429143178,1
"United Arab Emirates","AE","ARE","Asia","Asia","Middle East & North Africa",55.5286316262082,23.9336040308535,1
"United Arab Emirates","AE","ARE","Asia","Asia","Middle East & North Africa",55.5258410988645,23.5248692896409,1
"United Arab Emirates","AE","ARE","Asia","Asia","Middle East & North Africa",55.2344893736029,23.1109927434153,1
"United Arab Emirates","AE","ARE","Asia","Asia","Middle East & North Africa",55.2083410988632,22.708329982997,1
"United Arab Emirates","AE","ARE","Asia","Asia","Middle East & North Africa",55.0068030129249,22.4969475367071,1
"United Arab Emirates","AE","ARE","Asia","Asia","Middle East & North Africa",52.0007332700743,23.0011544865789,1
"United Arab Emirates","AE","ARE","Asia","Asia","Middle East & North Africa",51.617707553927,24.0142192652288,1
"United Arab Emirates","AE","ARE","Asia","Asia","Middle East & North Africa",51.5795186704633,24.2454971379511,1
"Argentina","AR","ARG","South America","Americas","Latin America & Caribbean",-65.5,-55.2,1
"Argentina","AR","ARG","South America","Americas","Latin America & Caribbean",-66.45,-55.25,1
"Argentina","AR","ARG","South America","Americas","Latin America & Caribbean",-66.95992,-54.89681,1
"Argentina","AR","ARG","South America","Americas","Latin America & Caribbean",-67.56244,-54.87001,1
"Argentina","AR","ARG","South America","Americas","Latin America & Caribbean",-68.63335,-54.8695,1
"Argentina","AR","ARG","South America","Americas","Latin America & Caribbean",-68.6340102275832,-52.6363704588745,1
"Argentina","AR","ARG","South America","Americas","Latin America & Caribbean",-68.25,-53.1,1
"Argentina","AR","ARG","South America","Americas","Latin America & Caribbean",-67.75,-53.85,1
"Argentina","AR","ARG","South America","Americas","Latin America & Caribbean",-66.45,-54.45,1
"Argentina","AR","ARG","South America","Americas","Latin America & Caribbean",-65.05,-54.7,1
"Argentina","AR","ARG","South America","Americas","Latin America & Caribbean",-65.5,-55.2,1
"Argentina","AR","ARG","South America","Americas","Latin America & Caribbean",-64.9648921372946,-22.0758615048124,2
"Argentina","AR","ARG","South America","Americas","Latin America & Caribbean",-64.3770210435423,-22.7980913225235,2
"Argentina","AR","ARG","South America","Americas","Latin America & Caribbean",-63.9868381415225,-21.993644301036,2
"Argentina","AR","ARG","South America","Americas","Latin America & Caribbean",-62.8464684719216,-22.0349854468695,2
"Argentina","AR","ARG","South America","Americas","Latin America & Caribbean",-62.6850571356579,-22.2490292294224,2
"Argentina","AR","ARG","South America","Americas","Latin America & Caribbean",-60.8465647040099,-23.8807125790383,2
"Argentina","AR","ARG","South America","Americas","Latin America & Caribbean",-60.028966030504,-24.0327963192732,2
"Argentina","AR","ARG","South America","Americas","Latin America & Caribbean",-58.807128465395,-24.7714592424533,2
"Argentina","AR","ARG","South America","Americas","Latin America & Caribbean",-57.777217169818,-25.162339776309,2
"Argentina","AR","ARG","South America","Americas","Latin America & Caribbean",-57.6336600409111,-25.6036565080817,2
"Argentina","AR","ARG","South America","Americas","Latin America & Caribbean",-58.6181735907197,-27.1237187639471,2
"Argentina","AR","ARG","South America","Americas","Latin America & Caribbean",-57.6097596909761,-27.3958985328284,2
"Argentina","AR","ARG","South America","Americas","Latin America & Caribbean",-56.486701626193,-27.5484990373863,2
"Argentina","AR","ARG","South America","Americas","Latin America & Caribbean",-55.6958455063982,-27.3878370093908,2
"Argentina","AR","ARG","South America","Americas","Latin America & Caribbean",-54.7887949285951,-26.6217855770961,2
"Argentina","AR","ARG","South America","Americas","Latin America & Caribbean",-54.6252906968236,-25.7392554664155,2
"Argentina","AR","ARG","South America","Americas","Latin America & Caribbean",-54.1300496079544,-25.5476392554773,2
"Argentina","AR","ARG","South America","Americas","Latin America & Caribbean",-53.6283489650487,-26.1248650041774,2
"Argentina","AR","ARG","South America","Americas","Latin America & Caribbean",-53.6487353175879,-26.9234725888161,2
"Argentina","AR","ARG","South America","Americas","Latin America & Caribbean",-54.4907252671355,-27.4747567685058,2
"Argentina","AR","ARG","South America","Americas","Latin America & Caribbean",-55.1622863429846,-27.8819153785334,2
"Argentina","AR","ARG","South America","Americas","Latin America & Caribbean",-56.2908996242391,-28.8527605120009,2
"Argentina","AR","ARG","South America","Americas","Latin America & Caribbean",-57.6251334295829,-30.2162948544542,2
"Argentina","AR","ARG","South America","Americas","Latin America & Caribbean",-57.8749373032819,-31.0165560849262,2
"Argentina","AR","ARG","South America","Americas","Latin America & Caribbean",-58.1424403550407,-32.0445036760762,2
"Argentina","AR","ARG","South America","Americas","Latin America & Caribbean",-58.1326476711214,-33.040566908502,2
